_TIMESTAMP_,2022-03-12 22:24:29.046983
Argentine Peso,1.418658,0.704891
Australian Dollar,0.017892,55.890064
Bahraini Dinar,0.004903,203.942115
Botswana Pula,0.150941,6.625095
Brazilian Real,0.066189,15.108145
Bruneian Dollar,0.017684,56.546745
Bulgarian Lev,0.023375,42.780323
Canadian Dollar,0.016637,60.106919
Chilean Peso,10.509408,0.095153
Chinese Yuan Renminbi,0.082676,12.095343
Colombian Peso,49.813616,0.020075
Croatian Kuna,0.090472,11.053097
Czech Koruna,0.300104,3.332180
Danish Krone,0.088928,11.245075
Euro,0.011952,83.671039
Hong Kong Dollar,0.102101,9.794216
Hungarian Forint,4.568136,0.218908
Icelandic Krona,1.731848,0.577418
Indonesian Rupiah,186.619969,0.005358
Iranian Rial,548.559038,0.001823
Israeli Shekel,0.042435,23.565421
Japanese Yen,1.530592,0.653342
Kazakhstani Tenge,6.825954,0.146500
South Korean Won,16.083363,0.062176
Kuwaiti Dinar,0.003968,251.986439
Libyan Dinar,0.060392,16.558441
Malaysian Ringgit,0.054698,18.282314
Mauritian Rupee,0.567413,1.762386
Mexican Peso,0.272809,3.665571
Nepalese Rupee,1.600750,0.624707
New Zealand Dollar,0.019158,52.197290
Norwegian Krone,0.117270,8.527314
Omani Rial,0.005014,199.433642
Pakistani Rupee,2.327621,0.429623
Philippine Peso,0.682126,1.466004
Polish Zloty,0.057185,17.487245
Qatari Riyal,0.047469,21.066548
Romanian New Leu,0.059003,16.948424
Russian Ruble,1.748095,0.572051
Saudi Arabian Riyal,0.048903,20.448596
Singapore Dollar,0.017684,56.546745
South African Rand,0.196288,5.094549
Sri Lankan Rupee,3.325043,0.300748
Swedish Krona,0.127186,7.862473
Swiss Franc,0.012204,81.942877
Taiwan New Dollar,0.370906,2.696101
Thai Baht,0.434311,2.302495
Trinidadian Dollar,0.088677,11.276926
Turkish Lira,0.192619,5.191595
Emirati Dirham,0.047892,20.880119
British Pound,0.010002,99.979613
US Dollar,0.013041,76.682235
Venezuelan Bolivar,5639.963480,0.000177
